epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,7458.89,0.82387,0.42756,1.00354,0.9872,0.97581,0.99216,0.80045,0.79357,0.36176,0.93605,0.000899282,0.000899282,0.000899282
33,7695.68,0.82142,0.42784,1.00093,0.98697,0.97351,0.99202,0.81892,0.73768,0.35852,0.92401,0.000892928,0.000892928,0.000892928
34,7925.93,0.83551,0.4292,1.00898,0.988,0.97739,0.99267,0.80323,0.7566,0.36606,0.92297,0.000886404,0.000886404,0.000886404
35,8162.53,0.80531,0.41596,0.99323,0.98886,0.97564,0.99261,0.82916,0.6909,0.34187,0.90877,0.000879713,0.000879713,0.000879713
36,8398.93,0.78659,0.40979,0.99032,0.98692,0.97681,0.99239,0.82383,0.70722,0.34766,0.91417,0.000872857,0.000872857,0.000872857
37,8635.59,0.80469,0.41768,0.99639,0.98561,0.97704,0.99283,0.8317,0.69416,0.34025,0.9126,0.000865839,0.000865839,0.000865839
38,8866.81,0.81049,0.42038,0.99942,0.98788,0.97557,0.99166,0.77161,0.92002,0.38216,0.96286,0.000858664,0.000858664,0.000858664
39,9097.55,0.78841,0.41013,0.99013,0.98766,0.97694,0.99278,0.84233,0.66964,0.3338,0.90356,0.000851333,0.000851333,0.000851333
40,9328.64,0.79738,0.41397,0.9912,0.98871,0.97557,0.99332,0.83712,0.67753,0.33706,0.9102,0.000843851,0.000843851,0.000843851
41,9565.59,0.81396,0.41657,0.99592,0.99044,0.97596,0.99264,0.7913,0.8655,0.36781,0.94866,0.00083622,0.00083622,0.00083622
42,9801.69,0.79347,0.40699,0.98315,0.98905,0.97871,0.99337,0.82479,0.73633,0.33696,0.91171,0.000828443,0.000828443,0.000828443
43,10034.8,0.77061,0.40532,0.97999,0.98936,0.97989,0.99308,0.84893,0.65375,0.32488,0.89697,0.000820525,0.000820525,0.000820525
44,10259,0.75539,0.39509,0.97247,0.9903,0.97734,0.99318,0.85267,0.6576,0.32245,0.89901,0.000812468,0.000812468,0.000812468
