epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3537.84,0.75609,0.4083,0.95803,0.98447,0.97165,0.99054,0.83256,0.6784,0.35136,0.91173,0.0011882,0.0011882,0.0011882
43,3622.18,0.7437,0.40287,0.95048,0.9854,0.97145,0.9908,0.83643,0.67852,0.34791,0.90983,0.0011684,0.0011684,0.0011684
44,3706.49,0.74476,0.40163,0.95052,0.98224,0.97273,0.99106,0.83371,0.66785,0.34855,0.90854,0.0011486,0.0011486,0.0011486
45,3791.35,0.72584,0.39466,0.94599,0.98439,0.97101,0.9913,0.83641,0.67187,0.34963,0.91048,0.0011288,0.0011288,0.0011288
46,3875.21,0.73006,0.39729,0.94773,0.98393,0.973,0.99202,0.83348,0.66102,0.34399,0.90726,0.001109,0.001109,0.001109
47,3958.22,0.72856,0.39453,0.94482,0.98537,0.97439,0.99232,0.8436,0.65661,0.34234,0.9016,0.0010892,0.0010892,0.0010892
48,4042.45,0.72214,0.39136,0.94332,0.98548,0.97292,0.99162,0.84202,0.65511,0.34142,0.90318,0.0010694,0.0010694,0.0010694
49,4126.64,0.72125,0.39157,0.94077,0.98608,0.97316,0.99192,0.84199,0.65381,0.34123,0.9025,0.0010496,0.0010496,0.0010496
50,4210.08,0.72236,0.39092,0.94448,0.98648,0.97175,0.99237,0.84717,0.64987,0.33886,0.90008,0.0010298,0.0010298,0.0010298
51,4293.72,0.7307,0.39369,0.94732,0.98545,0.97469,0.99208,0.84471,0.63974,0.33595,0.89502,0.00101,0.00101,0.00101
52,4378.05,0.71533,0.38676,0.93911,0.98508,0.97626,0.99298,0.85477,0.63386,0.32848,0.89388,0.0009902,0.0009902,0.0009902
53,4461.82,0.71562,0.38583,0.93781,0.98652,0.97479,0.99173,0.84911,0.63191,0.33165,0.89285,0.0009704,0.0009704,0.0009704
54,4546.23,0.70572,0.38176,0.93463,0.98587,0.97606,0.99205,0.85209,0.63086,0.32963,0.89313,0.0009506,0.0009506,0.0009506
55,4629.96,0.69145,0.37829,0.93019,0.98554,0.97606,0.99213,0.84879,0.63094,0.32685,0.89289,0.0009308,0.0009308,0.0009308
56,4714.14,0.70376,0.38274,0.93706,0.98693,0.97557,0.99277,0.84681,0.64018,0.33039,0.89564,0.000911,0.000911,0.000911
57,4798.73,0.69808,0.38019,0.93619,0.98693,0.97439,0.99222,0.85513,0.63254,0.32553,0.89254,0.0008912,0.0008912,0.0008912
58,4882.58,0.69897,0.37996,0.93554,0.98469,0.97704,0.99261,0.85691,0.62598,0.32401,0.89069,0.0008714,0.0008714,0.0008714
59,4966.76,0.69422,0.37788,0.93339,0.98593,0.97647,0.9927,0.85827,0.62714,0.32304,0.89019,0.0008516,0.0008516,0.0008516
60,5050.93,0.69428,0.37841,0.9289,0.98752,0.97846,0.99261,0.86024,0.62333,0.32043,0.89036,0.0008318,0.0008318,0.0008318
61,5134.81,0.68406,0.37177,0.92678,0.98797,0.97516,0.99285,0.85669,0.61897,0.31999,0.88951,0.000812,0.000812,0.000812
62,5219.07,0.68288,0.37167,0.93093,0.98653,0.97739,0.99302,0.848,0.62701,0.32694,0.89144,0.0007922,0.0007922,0.0007922
63,5303.71,0.67755,0.3694,0.92682,0.98821,0.97773,0.99342,0.86861,0.59784,0.3127,0.8843,0.0007724,0.0007724,0.0007724
64,5388.13,0.67513,0.36863,0.92633,0.98547,0.97828,0.99359,0.86297,0.6023,0.31528,0.88394,0.0007526,0.0007526,0.0007526
